player,tm,ws
Andre Barrett,ORL,0.3
Andre Barrett,TOR,-0.2
Andre Brown,CHA,-0.1
Andre Brown,MEM,0.4
Andre Dawkins,MIA,-0.1
Andre Drummond,CHI,2.8
Andre Drummond,CLE,0.8999999999999999
Andre Drummond,DET,60.5
Andre Drummond,LAL,1.4
Andre Drummond,PHI,2.9
Andre Emmett,MEM,0.0
Andre Iguodala,DEN,5.6
Andre Iguodala,GSW,31.3
Andre Iguodala,MIA,2.3
Andre Iguodala,PHI,61.300000000000004
Andre Ingram,LAL,0.1
Andre Miller,CLE,23.6
Andre Miller,DEN,33.3
Andre Miller,LAC,4.6
Andre Miller,MIN,0.5
Andre Miller,PHI,21.0
Andre Miller,POR,14.0
Andre Miller,SAC,0.6
Andre Miller,SAS,0.4
Andre Miller,WAS,2.7
Andre Moore,DEN,0.0
Andre Moore,MIL,0.0
Andre Owens,IND,0.4
Andre Owens,UTA,-0.2
Andre Roberson,OKC,12.700000000000001
Andre Spencer,ATL,-0.1
Andre Spencer,GSW,0.7999999999999999
Andre Spencer,SAC,0.7
Andre Turner,BOS,-0.1
Andre Turner,HOU,0.0
Andre Turner,LAC,-0.2
Andre Turner,MIL,-0.1
Andre Turner,PHI,1.9
Andre Wakefield,CHI,-0.1
Andre Wakefield,DET,-0.8
Andre Wakefield,UTA,-0.2
Andrea Bargnani,NYK,2.4
Andrea Bargnani,TOR,16.2
Andrei Kirilenko,MIN,6.0
Andrei Kirilenko,UTA,68.1
Andrew Bogut,CLE,0.0
Andrew Bogut,DAL,0.7
Andrew Bogut,GSW,19.099999999999998
Andrew Bogut,LAL,0.4
Andrew Bogut,MIL,30.3
Andrew Bynum,CLE,0.4
Andrew Bynum,IND,0.0
Andrew Bynum,LAL,37.0
Andrew DeClercq,BOS,3.9
Andrew DeClercq,CLE,5.6
Andrew DeClercq,GSW,2.0
Andrew DeClercq,ORL,7.9
Andrew Gaze,SAS,0.0
Andrew Goudelock,HOU,0.0
Andrew Goudelock,LAL,0.1
Andrew Harrison,CLE,-0.1
Andrew Harrison,MEM,3.3
Andrew Harrison,NOP,0.0
Andrew Lang,ATL,10.0
Andrew Lang,CHI,-0.1
Andrew Lang,MIL,2.5999999999999996
Andrew Lang,MIN,0.2
Andrew Lang,NYK,0.4
Andrew Lang,PHI,1.7
Andrew Nembhard,IND,1.2
Andrew Nicholson,ORL,4.0
Andrew Nicholson,WAS,-0.1
Andrew Toney,PHI,26.9
Andrew White,ATL,-0.1
Andrew Wiggins,GSW,11.799999999999999
Andrew Wiggins,MIN,14.5
Andris Biedriņš,GSW,30.799999999999997
Andris Biedriņš,UTA,0.0
Andrés Guibert,MIN,-0.30000000000000004
Andrés Nocioni,CHI,18.5
Andrés Nocioni,PHI,1.1
Andrés Nocioni,SAC,2.2
Andy Duncan,BOS,-0.3
Andy Panko,ATL,0.0
Andy Phillip,BOS,4.6
Andy Rautins,NYK,-0.2
Andy Toolson,UTA,0.6
Anfernee Hardaway,MIA,0.2
Anfernee Hardaway,NYK,0.7
Anfernee Hardaway,ORL,46.4
Anfernee Simons,POR,6.5
Ansu Sesay,GSW,0.2
Antawn Jamison,CLE,7.800000000000001
Antawn Jamison,DAL,9.0
Antawn Jamison,GSW,25.3
Antawn Jamison,LAC,0.1
Antawn Jamison,LAL,4.3
Antawn Jamison,WAS,41.4
Ante Žižić,CLE,3.5
Anthony Avent,LAC,-0.5
Anthony Avent,MIL,0.6
Anthony Avent,ORL,1.6
Anthony Avent,UTA,-0.1
Anthony Bennett,CLE,-0.4
Anthony Bennett,MIN,0.3
Anthony Bennett,TOR,0.1
Anthony Bonner,NYK,5.8999999999999995
Anthony Bonner,ORL,0.0
Anthony Bonner,SAC,4.7
Anthony Bowie,HOU,0.7
Anthony Bowie,NYK,0.7
Anthony Bowie,ORL,10.3
Anthony Bowie,SAS,0.5
Anthony Brown,LAL,-0.3
Anthony Brown,MIN,0.0
Anthony Brown,NOP,0.0
Anthony Brown,ORL,0.0
Anthony Carter,DEN,6.300000000000001
Anthony Carter,MIA,3.0999999999999996
Anthony Carter,MIN,1.1
Anthony Carter,NYK,0.3
Anthony Carter,SAS,-0.3
Anthony Carter,TOR,0.0
Anthony Cook,DEN,0.9
Anthony Cook,MIL,0.1
Anthony Cook,ORL,0.0
Anthony Cook,POR,0.1
Anthony Davis,LAL,28.299999999999997
Anthony Davis,NOP,65.80000000000001
Anthony Edwards,MIN,8.9
Anthony Frederick,IND,0.2
Anthony Frederick,SAC,0.0
Anthony Gill,WAS,3.3000000000000003
Anthony Goldwire,DEN,3.9000000000000004
Anthony Goldwire,DET,0.1
Anthony Goldwire,LAC,-0.1
Anthony Goldwire,MIL,1.4
Anthony Goldwire,MIN,0.1
Anthony Goldwire,SAS,-0.1
Anthony Goldwire,WAS,0.0
Anthony Grundy,ATL,0.2
Anthony Johnson,ATL,3.3000000000000003
Anthony Johnson,CLE,-0.1
Anthony Johnson,DAL,0.8
Anthony Johnson,IND,12.1
Anthony Johnson,ORL,4.0
Anthony Johnson,SAC,0.6000000000000001
Anthony Jones,CHI,0.0
Anthony Jones,DAL,0.3
Anthony Jones,SAS,0.5
Anthony Lamb,GSW,2.4
Anthony Lamb,HOU,0.2
Anthony Lamb,SAS,0.0
Anthony Mason,DEN,0.1
Anthony Mason,MIA,11.6
Anthony Mason,MIL,9.5
Anthony Mason,NYK,37.8
Anthony Miller,ATL,0.7000000000000001
Anthony Miller,HOU,1.7999999999999998
Anthony Miller,LAL,1.2
Anthony Miller,PHI,0.0
Anthony Morrow,ATL,0.6
Anthony Morrow,CHI,0.3
Anthony Morrow,DAL,0.0
Anthony Morrow,GSW,6.5
Anthony Morrow,NOP,2.4
Anthony Morrow,OKC,8.5
Anthony Parker,CLE,7.800000000000001
Anthony Parker,ORL,0.2
Anthony Parker,PHI,0.4
Anthony Parker,TOR,16.1
Anthony Peeler,LAL,9.6
Anthony Peeler,MIN,17.7
Anthony Peeler,SAC,2.2
Anthony Peeler,WAS,0.5
Anthony Pullard,MIL,-0.1
Anthony Randolph,DEN,1.1
Anthony Randolph,GSW,3.1
Anthony Randolph,MIN,1.8
Anthony Randolph,NYK,-0.2
Anthony Roberson,CHI,-0.1
Anthony Roberson,GSW,0.1
Anthony Roberson,MEM,0.2
Anthony Roberson,NYK,0.3
Anthony Roberts,DEN,3.5
Anthony Taylor,MIA,0.2
Anthony Tolliver,ATL,1.2
Anthony Tolliver,CHA,3.2
Anthony Tolliver,DET,10.6
Anthony Tolliver,GSW,2.5
Anthony Tolliver,MEM,0.3
Anthony Tolliver,MIN,5.4
Anthony Tolliver,PHI,0.1
Anthony Tolliver,POR,0.4
Anthony Tolliver,SAC,2.0999999999999996
Anthony Tolliver,SAS,0.0
Antoine Carr,ATL,13.6
Antoine Carr,HOU,0.0
Antoine Carr,SAC,7.300000000000001
Antoine Carr,SAS,10.7
Antoine Carr,UTA,10.3
Antoine Rigaudeau,DAL,-0.4
Antoine Walker,ATL,0.2
Antoine Walker,BOS,30.6
Antoine Walker,DAL,3.9
Antoine Walker,MIA,3.3000000000000003
Antoine Walker,MIN,0.1
Antoine Wright,DAL,1.5999999999999999
Antoine Wright,SAC,-0.1
Antoine Wright,TOR,0.3
Antonio Anderson,OKC,0.0
Antonio Blakeney,CHI,-0.5
Antonio Burks,MEM,0.09999999999999998
Antonio Daniels,PHI,0.0
Antonio Daniels,POR,2.3
Antonio Daniels,SAS,17.900000000000002
Antonio Daniels,WAS,14.399999999999999
Antonio Davis,CHI,6.8
Antonio Davis,IND,29.6
Antonio Davis,NYK,0.4
Antonio Davis,TOR,22.9
Antonio Harvey,ATL,0.0
Antonio Harvey,LAC,-0.5
Antonio Harvey,LAL,0.2
Antonio Harvey,POR,0.4
Antonio Lang,CLE,1.6
Antonio Lang,MIA,0.1
Antonio Lang,PHI,0.1
Antonio Lang,TOR,0.0
Antonio McDyess,DEN,24.400000000000002
Antonio McDyess,DET,28.599999999999998
Antonio McDyess,NYK,0.6
Antonio McDyess,SAS,6.2
Antonis Fotsis,MEM,0.1
Antonius Cleveland,ATL,0.0
Antonius Cleveland,DAL,-0.1
Anžejs Pasečņiks,WAS,0.4
Archie Clark,DET,1.7
Archie Clark,LAL,10.600000000000001
Archie Clark,PHI,26.0
Archie Dees,DET,4.1000000000000005
Archie Goodwin,NOP,0.2
Arinze Onuaku,CLE,0.0
Arinze Onuaku,MIN,0.3
Arinze Onuaku,NOP,0.0
Arinze Onuaku,ORL,0.0
Armen Gilliam,MIL,10.899999999999999
Armen Gilliam,PHI,12.999999999999998
Armen Gilliam,UTA,1.2
Armon Johnson,POR,-0.3
Armond Hill,ATL,9.9
Armond Hill,MIL,0.5
Armoni Brooks,HOU,0.3
Armoni Brooks,TOR,0.2
Arnett Moultrie,PHI,1.7
Arnie Risen,BOS,7.1
Aron Baynes,BOS,5.4
Aron Baynes,DET,7.1
Aron Baynes,SAS,4.6
Aron Baynes,TOR,1.0
Arron Afflalo,DEN,17.6
Arron Afflalo,DET,3.7
Arron Afflalo,NYK,2.7
